date_found,source,company,role,link,location,remote_policy,employment_type,experience_band,compensation_hint,fit_score,status,why_fit,last_action,next_step,notes
2026-06-22,company_page,Qualcomm,2026 Campus Hire_Engineer_SW,https://careers.qualcomm.com/careers/apply?pid=446706882270,"Hyderabad / Bangalore / Chennai / Noida, India",,Full-time,New grad,,8,draft_started,Strong match for entry-level software engineering in India; good fit with systems/backend background and internship profile,Draft filled through multi-section form; hidden address section surfaced after selecting country,"Final review in live tab, then submit only with explicit approval",Application uses Qualcomm/Eightfold multi-section form; address fields can appear only after country selection
2026-06-23,board_search,Cisco,Software Engineer,https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Software-Engineer_2013498,"Bangalore, India",Hybrid,Full-time,0-1 years,,9,new,Strong embedded/platform software role and explicitly open to up to 1 year of experience including internships,Found via board-search sweep on company Workday page,Open application and verify resume upload; pursue early in the batch,Backend-adjacent systems role; stronger fit if you want low-level/platform work
2026-06-23,board_search,Hevo Data,SDE-I,https://jobs.lever.co/hevodata/c0c6ce59-880b-46fb-b45f-61e1aec2ad77,"Bangalore, India",On-site,Full-time,0-1 years,,9,new,Very strong match for backend/API work; role explicitly mentions internships and 0-1 years,Rechecked the official Hevo Lever board on 2026-07-12; this exact SDE-I posting is no longer listed.,Do not spend more time here unless Hevo reposts the role.,Exact Lever posting is unavailable on 2026-07-12 and the current Hevo board no longer lists SDE-I.
2026-06-23,board_search,Stable Money,Software Engineer I (Backend),https://jobs.lever.co/stable-money1/bfcb73b0-353c-4b78-b489-02db4ccaa637,"Bengaluru, India",On-site,Full-time,1-2 years,,7,new,Backend-heavy startup role in Bengaluru with direct application path,Reverified the exact Lever posting on 2026-07-15.,Apply if you want to take a clear 1-2 year backend stretch in Bengaluru.,Current Lever posting stays live on 2026-07-15 and still reads as a clear 1-2 year backend stretch with Spring Boot and microservices.
2026-06-23,board_search,Visa,New Grad - Software Engineer (Evergreen PPO),https://jobs.smartrecruiters.com/oneclick-ui/company/Visa/publication/52f4fc97-d38d-4c3e-bb5f-da70fe699bab?dcr_ci=Visa,"Bengaluru, Karnataka, India",,Full-time,New grad,,8,new,Direct new-grad opening in Bengaluru on an official Visa application page,Found via SmartRecruiters board search,Open form and confirm whether this evergreen posting maps cleanly to current early-career intake,High-signal brand and clear early-career framing
2026-06-23,board_search,Studio Graphene,Associate Software Engineer - Full Stack,https://jobs.jobvite.com/studiographene-careers/job/ox59Afw5,"Gurgaon, India",,Full-time,Graduate / early career,,8,new,Associate title and description are friendly to sharp graduates who want to grow across stack areas,Found via Jobvite board search,Review relocation fit and apply if Gurgaon is acceptable,Good backup beyond Bengaluru; more full-stack than backend
2026-06-23,board_search,Maersk,Associate Software Engineer,https://maersk.wd3.myworkdayjobs.com/en-US/Maersk_Manual/job/Associate-Software-Engineer_R183431,"Bengaluru, India",,Full-time,Associate / early career,,7,new,Associate software role in Bengaluru at a large engineering org,Found via Workday board search,Open the role page directly and confirm exact experience wording before applying,"Worth a look, though the public snippet is less detailed than Cisco or Hevo"
2026-06-24,board_search,Keystone,Software Development Engineer I,https://jobs.ashbyhq.com/keystone/8a93bfb4-ba8f-47c6-a3b8-5ea93dd2f39d/application,"Bengaluru, India",,Full-time,1-3 years; internships and academic projects explicitly count,,9,new,Very strong fit for a fresher with strong internships because the role explicitly allows internships and academic projects toward experience,Found via Ashby board search,Open the direct form and apply early if the stack and location work for you,Strongest fresh lead from this Ashby sweep
2026-06-24,board_search,Endava,Software Engineer,https://jobs.smartrecruiters.com/Endava/744000124389799-software-engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time,Entry-level / junior-leaning from public description,,7,new,General software engineer opening in Bengaluru with a hybrid setup and a public description that reads closer to junior than senior scope,Found via SmartRecruiters board search,Review the JD carefully and apply if the services-company environment feels like a good fit,Public listing says 3 days work from office and 2 days work from home
2026-06-24,board_search,Emergence Software,SDE I,https://jobs.ashbyhq.com/emergence/c72a7952-5d8a-4b2e-b0b2-0e349152fefd,"Remote, India",Remote,Full-time,SDE I; backend-heavy but ownership expectations read above classic new-grad scope,,7,new,"Remote India role with strong backend and distributed-systems overlap, but still a clearer ownership stretch than classic new-grad roles",Reverified the official Ashby page on 2026-07-15.,Review the JD and apply if you want a deliberate remote backend stretch with stronger ownership expectations.,Official page still reads as a real remote India SDE I role, but it explicitly expects end-to-end feature ownership and production debugging.
2026-06-24,board_search,Allegion,Software Engineer,https://allegion.wd5.myworkdayjobs.com/careers/job/Bangalore-India/Software-Engineer_JR35510,"Bengaluru, India",On-site,Full-time,0-1 years / entry-level from public mirrors,,7,new,Entry-level software role in Bengaluru and closer to your experience band than many generic SWE listings,Found via Workday search plus current mirrors,Open the direct application and confirm stack plus exact team before applying,Good backup if you want another fresher-friendly Bengaluru engineering option
